fecha_venta,hora_venta,Producto,Valor_sugerido,venta_final,venta_inventario,valor_compra,contribucion,Comprador,fecha_ingreso_inventario,NOMBRE,sexo_producto,color_prenda,talla_prenda,proveedor,OBSERVACIONES
2022-08-14,1200,0059,60000,60000,60000,34667,25333,Mujer,2022-06-01,ETNICO,MUJER,AZUL,U,TULCAN,
2022-08-15,900,1172,55000,50000,55000,28000,22000,Mujer,2022-08-06,504 - BUSO BANDEJA,MUJER,NEGRO,U,PARADISE,
2022-08-15,1000,1148,70000,65000,70000,35000,30000,,2022-07-22,BUSON,MUJER,ROSADO,U,TEJIDOS RICHARDS,
2022-08-15,1030,1177,70000,65000,70000,45000,20000,,2022-08-11,CHOMPA CIERRE,UNISEX,GRIS,L,ETANOL CAMISAS,
2022-08-15,1130,1152,70000,65000,65000,35000,30000,Mujer,2022-07-22,BUSON,MUJER,GRIS,U,TEJIDOS RICHARDS,
2022-08-15,1200,1034,75000,70000,75000,41000,29000,Mujer,2022-06-07,SIENA,MUJER,,,TOTAS,
2022-08-15,1500,0009,70000,60000,70000,38000,22000,Hombre,2022-06-01,ITALIA,HOMBRE,GRIS,U,TOTAS,
2022-08-15,1500,1109,75000,67000,75000,43000,24000,Mujer,2022-07-04,CHAQUETA COCO,MUJER,NEGRO,U,TOTAS,
2022-08-17,1630,0064,66000,60000,66000,38666,21334,Mujer,2022-06-01,BUZO SANDYTEX,MUJER,MOSTAZA,U,TULCAN,
2022-08-17,1700,0067,66000,60000,66000,38666,21334,Mujer,2022-06-01,BUZO RAYAS,MUJER,NEGRO,U,TULCAN,
2022-08-17,1700,1157,70000,60000,65000,35000,25000,Mujer,2022-07-22,BUSO CLASICO,MUJER,VERDE,U,TEJIDOS RICHARDS,
2022-08-18,,0128,65000,60000,67000,38600,21400,Hombre,2022-06-01,PARMA,HOMBRE,GRIS,U,TOTAS,
2022-08-20,,1245,50000,45000,50000,30000,15000,,2022-08-11,BUSO CUELLO,UNISEX,BEIGE,M,ETANOL CAMISAS,
2022-08-24,1700,1262,25000,20000,25000,12300,7700,Mujer,2022-08-20,CAMIBUSO,MUJER,AZUL,XL,ETANOL CAMISAS,
2022-08-26,1900,0017,60000,55000,60000,34666,20334,Mujer,2022-06-01,BUZO CUELLO ALTO,MUJER,TOMATE,U,TULCAN,
2022-08-27,1400,0105,60000,55000,60000,34666,20334,Mujer,2022-06-01,BUZO RAYADO,MUJER,CREMA,U,TULCAN,
2022-08-27,1600,0129,60000,55000,60000,34000,21000,Mujer,2022-06-01,POLO REDONDO,HOMBRE,AZUL,U,TOTAS,
2022-08-27,1700,0104,60000,55000,60000,34666,20334,Mujer,2022-06-01,BUZO RAYADO,MUJER,GRIS,U,TULCAN,
2022-08-29,1300,1032,60000,55000,60000,30000,25000,Hombre,2022-06-07,POLO,HOMBRE,GRIS OSCURO,U,TOTAS,
2022-08-29,1700,1103,90000,85000,90000,55000,30000,Mujer,2022-07-04,GABAN CYAN,MUJER,GRIS,XL,TOTAS,
2022-08-31,1530,1167,55000,50000,55000,28000,22000,,2022-08-06,507 - BUSO CORTO CUELLO CAIDO,MUJER,NEGRO,U,PARADISE,
2022-09-08,1000,1306,65000,55000,65000,36295,18705,Mujer,2022-09-08,CUELLO V,MUJER,AZUL,U,TULCAN,VENDIDO MARCIA
2022-09-08,1000,1307,65000,55000,65000,36295,18705,Mujer,2022-09-08,CUELLO V,MUJER,GRIS,U,TULCAN,VENDIDO MARCIA
2022-09-08,1000,1338,67645,55000,67645,38430,16570,Mujer,2022-09-08,BORLITAS,MUJER,GRIS,U,TULCAN,VENDIDO MARCIA
2022-09-01,1000,0103,60000,55000,60000,34666,20334,,2022-06-01,BUZO RAYADO,MUJER,NEGRO,U,TULCAN,
2022-09-03,1200,1277,50000,30000,50000,30000,0,Familia,2022-08-20,BUSO CUELLO,UNISEX,GRIS,S,ETANOL CAMISAS,
2022-09-06,1200,1136,75000,70000,70000,42000,28000,Mujer,2022-07-15,MAJO,MUJER,NEGRO,U,TOTAS,
2022-09-06,1630,0074,75000,70000,74000,44000,26000,Mujer,2022-06-01,GABAN HOMBRE,HOMBRE,NEGRO,U,TOTAS,
2022-09-06,1830,1086,85000,80000,85000,50000,30000,Mujer,2022-07-04,GABAN CUADROS,MUJER,NEGRO-BLANCO,L,TOTAS,
2022-09-07,1300,0021,72000,70000,72000,42666,27334,Mujer,2022-06-01,PUNTEADO,MUJER,AZUL,U,TULCAN,
2022-09-09,1830,1211,25000,22000,25000,13800,8200,Hombre,2022-08-11,CAMIBUSO,HOMBRE,VINOTINTO,S,ETANOL CAMISAS,
2022-09-10,1000,1111,75000,70000,75000,41000,29000,,2022-07-04,SIENA,MUJER,NEGRO,L,TOTAS,
2022-09-11,1000,1261,25000,22000,25000,12300,9700,Mujer,2022-08-20,CAMIBUSO,MUJER,AZUL,L,ETANOL CAMISAS,
2022-09-11,1100,1285,50000,45000,50000,30000,15000,Mujer,2022-08-20,BUSO CUELLO,UNISEX,ROSADO,L,ETANOL CAMISAS,
2022-09-11,1130,0098,65000,60000,65000,38000,22000,Mujer,2022-06-01,CAIRO,HOMBRE,NEGRO,U,TOTAS,
2022-09-12,1100,1325,70000,65000,70000,42700,22300,Mujer,2022-09-08,CUELLO ABIERTO,MUJER,TERRACOTA,U,TULCAN,
2022-09-12,1130,0055,75000,70000,75000,44666,25334,Mujer,2022-06-01,GABAN CUADRADO,MUJER,GRIS,U,TULCAN,
2022-09-13,900,1183,28000,22000,28000,18300,3700,Mujer,2022-08-11,TIPO POLO,UNISEX,GRIS,S,ETANOL CAMISAS,
2022-09-14,1100,1263,25000,20000,25000,12300,7700,,2022-08-20,CAMIBUSO,MUJER,NEGRO,L,ETANOL CAMISAS,
2022-09-14,1100,1257,25000,20000,25000,12300,7700,,2022-08-20,CAMIBUSO,MUJER,ROSADO,M,ETANOL CAMISAS,
2022-09-14,1200,0046,72000,70000,72000,42667,27333,Mujer,2022-06-01,SACO LARGO CUADROS,MUJER,AZUL,U,TULCAN,
2022-09-14,1230,1033,60000,55000,60000,30000,25000,Hombre,2022-06-07,POLO,HOMBRE,AZUL,U,TOTAS,
2022-09-14,1700,0002,65000,60000,65000,39000,21000,Mujer,2022-06-01,TOPACIO,MUJER,GRIS,M,TOTAS,
2022-09-15,1230,1126,70000,60000,70000,38000,22000,Mujer,2022-07-04,CHAQUETA SIGMA ,HOMBRE,AZUL,U,TOTAS,
2022-09-15,1830,1300,70000,62000,70000,40565,21435,Mujer,2022-09-08,CONCHA,MUJER,CREMA,U,TULCAN,
2022-09-15,1830,1317,70000,62000,70000,38430,23570,Hombre,2022-09-08,CUELLO REDONDO,HOMBRE,GRIS OSCURO,U,TULCAN,
2022-09-17,1700,0028,68000,65000,68000,40000,25000,Mujer,2022-06-01,LEOPARDO,MUJER,ROSADO,U,TULCAN,
2022-09-17,,1128,80000,70000,80000,46000,24000,,2022-07-04,GABAN MILITAR,MUJER,NEGRO,L,TOTAS,
2022-09-20,,1007,70000,65000,70000,40000,25000,,2022-06-07,AURA,MUJER,MORADO,U,TOTAS,
2022-09-21,1230,1079,95000,85000,95000,68000,17000,Mujer,2022-06-16,CHAQUETA,HOMBRE,GRIS,XL,TEJIDOS RICHARDS,
2022-09-21,1230,1264,25000,20000,25000,12300,7700,Mujer,2022-08-20,CAMIBUSO,MUJER,NEGRO,XL,ETANOL CAMISAS,
2022-09-21,1230,1258,25000,20000,25000,12300,7700,Mujer,2022-08-20,CAMIBUSO,MUJER,VERDE,XL,ETANOL CAMISAS,
2022-09-21,1530,1019,75000,65000,75000,45000,20000,Mujer,2022-06-07,GABAN HOMBRE,HOMBRE,NEGRO,U,TOTAS,
2022-09-22,1200,1302,70000,65000,70000,40565,24435,Mujer,2022-09-08,NURIJEF,MUJER,GRIS,U,TULCAN,
2022-09-23,1800,1320,75000,70000,75000,42700,27300,,2022-09-08,CUELLO AMPLIO,MUJER,VERDE,U,TULCAN,
2022-09-23,1830,1308,65000,60000,65000,36295,23705,,2022-09-08,CUELLO V,MUJER,BEIGE,U,TULCAN,
